A B
50.147 65.522
54.772 43.34
48.253 29.864
47.816 47.549
54.25 46.262
50.031 59.937
49.719 59.66
45.128 37.221
35.515 39.129
47.604 47.93
46.771 44.814
52.03 56.118
52.677 41.864
44.098 16.49
50.916 69.764
46.505 56.328
58.124 38.862
49.212 53.698
58.361 41.979
49.383 29.367
56.986 43.838
50.523 66.082
48.57 64.163
50.68 40.091
59.284 56.948
45.034 37.498
45.268 25.158
60.326 46.356
53.584 38.978
40.467 54.321
58.103 12.202
55.389 58.389
42.801 44.438
46.702 46.305
56.874 33.972
52.712 52.833
54.793 39.498
47.074 49.177
50.246 50.071
52.925 57.706
52.388 46.519
47.497 42.443
51.715 63.967
49.26 63
53.633 25.774
40.782 43.777
47.252 54.438
51.989 42.479
51.914 52.526
47.369 27.732
55.97 35.973
48.744 30.225
53.517 37.347
50.09 47.296
55.428 27.897
53.462 54.453
46.684 57.254
47.566 51.027
43.073 54.332
54.341 69.722
53.356 45.566
51.044 49.031
41.663 61.644
45.026 33.806
49.233 58.882
45.187 54.901
48.114 15.562
58.766 43.956
52.554 66.889
42.58 65.946
43.232 32.654
55.771 35.68
54.484 40.365
48.185 48.055
51.04 54.437
53.565 62.373
36.084 32.768
53.488 73.784
62.45 48.007
47.339 48.217
51.785 51.791
46.623 52.902
45.102 72.042
60.793 17.594
42.163 84.645
56.646 64.769
50.091 72.662
45.813 49.332
53.576 32.698
35.497 84.412
54.417 58.08
58.415 47.805
48.056 35.312
47.481 22.532
43.813 78.051
54.415 27.455
52.217 84.775
50.349 31.156
47.384 35.922
50.224 42.098
52.054 24.001
41.067 33.819
42.333 44.454
41.678 71.279
50.745 35.592
48.097 56.669
53.608 63.803
48.748 53.726
51.41 46.128
53.403 84.509
49.792 50.938
46.38 53.467
53.305 72.764
45.13 42.519
57.829 50.064
57.505 55.393
51.87 81.244
57.788 28.879
44.614 68.268
49.078 60.827
44.848 46.975
41.962 51.431
48.722 19.511
59.68 23.363
52.958 50.99
51.273 31.638
41.94 73.677
51.953 46.931
43.756 56.2
54.747 44.667
61.698 73.673
51.431 33.607
43.067 38.508
43.837 13.388
38.565 39.982
54.538 36.833
52.789 46.258
53.089 36.282
57.71 51.213
41.41 48.757
57.284 43.904
62.765 60.485
53.955 57.087
40.725 64.729
50.972 28.318
47.046 50.248
53.556 47.133
54.549 59.092
45.416 66.659
48.472 49.563
51.37 45.615
47.748 72.18
51.708 60.977
51.855 32.015
48.881 72.737
52.093 44.477
54.192 40.827
47.144 35.089
53.877 53.358
59.197 68.669
52.177 17.8
53.452 57.899
43.52 48.011
45.592 44.55
58.371 36.644
51.588 41.838
48.632 43.092
55.168 47.028
48.671 49.19
54.291 51.007
44.654 70.559
51.952 24.311
48.789 26.888
55.509 71.428
49.234 32.056
52.97 63.205
54.407 24.769
55.267 75.483
45.304 47.676
55.638 30.89
44.299 41.271
48.667 43.54
51.615 54.567
49.946 55.029
61.502 15.736
50.98 36.816
61.131 64.716
55.742 61.141
49.579 51.509
45.374 52.535
49.902 55.15
47.66 65.479
46.055 74.237
46.561 19.108
57.174 60.672
55.766 47.037
53.361 26.6
43.927 55.881
40.947 48.434
50.683 45.44
47.663 44.428
49.449 69.332
56.562 52.525
43.777 61.903
50.47 28.45
55.021 7.862
50.431 53.683
46.173 43.587
54.397 54.918
45.682 53.665
53.222 64.104
55.245 47.946
52.301 22.186
46.902 74.656
54.122 47.855
48.956 42.137
48.767 61.84
51.346 64.422
43.615 69.403
57.436 29.659
46.244 37.22
44.057 33.456
55.037 62.644
46.168 43.927
48.487 55.169
50.367 51.738
51.288 50.34
51.058 77.156
51.402 52.774
57.952 43.581
42.84 65.222
57.425 37.517
49.036 27.908
49.679 56.806
54.774 59.947
47.051 39.269
48.668 80.311
47.506 78.837
46.332 41.931
57.826 33.184
45.368 38.721
50.693 43.916
54.881 47.385
54.111 64.959
47.387 57.614
55.114 35.457
47.656 53.204
50.975 40.643
50.352 54.954
51.947 30.487
