A B C
73.9650658564956 62.8284280736279 71.7102330139905
72.6112563191276 69.9615602986976 78.6397833390228
78.7311112059488 72.1343059739938 63.4853243179622
63.6433193849301 76.5581431878044 65.6141644303212
80.9869476627739 80.1717323775433 82.8282788430631
72.1656538854599 72.3034280717987 77.9722371063154
62.1490018475731 81.237862639329 71.5806522077122
65.3254716646196 72.4006247732563 83.6417957441533
70.3174667262989 79.0927794148945 72.0794190246607
69.988033319095 79.2930796772343 66.0666126606213
58.6160937987669 72.279386698006 75.0715085317828
73.7870611256274 64.4137971151502 68.3085913901534
67.2579722298599 71.7571039254398 76.447067537321
70.8627473892519 70.9282168042326 65.2368161944518
72.8142653387771 82.4790909880691 76.5050854977689
77.5590897971884 73.011614534076 74.4337810267365
73.295125845822 74.5886185541073 74.9553676683363
75.6101403733728 80.390716029249 78.1591951270923
66.0767931542677 73.9262240252369 70.6048381579984
67.8715385559484 65.5905638798751 75.479311477115
71.9649879568608 69.0892463201512 79.5608292978707
70.1837856491228 80.8705934717409 75.8129494852697
64.8395816938585 70.9466401027342 72.6454246351403
63.6756926430929 70.2394654690603 73.0152717302662
68.8651735738819 74.9258616311219 74.334772590323
73.7279465235401 77.0684234887837 69.6609916587405
71.6640959016626 71.8871528570333 72.1899717957326
64.3797977132112 67.484225716047 68.3022491764844
66.4693460888551 76.5388647670561 69.9231433511336
66.3622806769577 77.8097144851752 80.5512281648989
