A B C
65.7957225960685 73.5795751918073 68.3170859842575
76.9217967173929 77.5484708382943 78.2741521156423
63.7225406868617 83.0773028583903 71.1081479051907
70.3507138321366 78.0855181947867 76.4818076951508
78.5572043635119 79.3961089331914 70.1997103469411
66.9854600927267 76.7578691620893 72.2930686480029
67.6391680741653 66.9523367701872 63.488354397611
66.8231434373786 61.9976363068102 72.4914885931555
68.5711318256692 63.1890706377397 67.638082789094
70.6905411240196 71.2869593702247 72.6016694509538
76.1381517192673 79.7503018474156 72.9795133959021
65.9911027267359 67.9878840914261 72.8719290724132
64.598036999863 71.6271054005866 75.7351422601105
69.2123282194656 81.4783397736123 74.1618392129896
64.6411998006104 69.7171552953978 76.067656448359
69.3050692972508 74.8111168132151 73.2232576168731
67.0134345264354 67.5649574424429 78.8674269624152
59.0801661995421 69.6987771190241 74.6054507138674
71.2040862796835 68.3783575696626 74.9458684573873
68.7032229663288 71.6539442208294 71.1855746508702
74.5025597266663 79.3162428147434 76.4920808250067
74.7093469693387 72.9386304871657 65.2884875331845
77.3398095170985 77.1101143066542 78.8776454860184
73.5338054477896 69.0408258352448 73.8795856363178
74.0950446513108 71.4389967248193 77.3784223765704
68.5325907564877 67.3752345706716 70.448451974733
77.0929453624297 75.7665239914776 85.936163231887
77.4938691370324 71.4369546489848 71.6328399390177
66.7145895275717 71.679545358901 73.6211372166661
65.73602279999 73.1663764677288 71.3907997176086
