A B
47.39 44.78
80.77 79.56
41.17 39.05
61.05 60.7
85.67 84.79
50.96 50.98
52.92 51.09
50.47 49.59
55.71 54.78
62.07 60.81
78.41 78.66
47.97 46.03
43.79 43.43
57.64 56.09
43.92 43.76
57.92 57.3
51.04 52.35
27.24 26.57
63.61 64.01
56.11 55.42
73.51 72.73
74.13 73.38
82.02 80.64
70.6 69.56
72.29 70.84
55.6 54.77
81.28 79.21
82.48 81.35
50.14 48.93
47.21 46.83
64.74 63.19
76.65 77.57
93.23 91.16
78.26 77.29
82.19 80.45
74.27 74.05
44.86 41.23
29.99 29.51
33.57 32.65
57.86 57.43
83.25 81.23
47.96 48.13
58.88 57.27
88.44 86.45
53.15 51.06
68.43 67.01
46.69 46.07
53.1 52.69
49.14 48.34
58.96 58.03
