A_jp A_math A_eng B_jp B_math B_eng C_jp C_math C_eng
67 57 85 85 97 87 54 59 73
77 52 68 90 66 72 82 46 97
85 63 98 80 81 94 84 61 97
64 41 61 81 89 87 69 74 100
84 59 78 94 83 93 86 90 100
81 55 39 69 71 87 65 82 94
82 83 71 70 74 81 82 57 100
98 81 90 90 58 50 66 66 66
63 65 66 57 78 68 50 100 93
100 49 60 79 58 85 93 82 100
70 80 84 76 58 71 86 57 87
64 79 61 83 56 74 78 100 77
70 77 77 91 61 72 98 83 87
85 77 47 80 87 100 52 89 75
83 61 52 79 65 67 78 92 75
76 77 66 87 70 71 40 79 100
67 86 57 94 64 78 98 77 100
71 67 93 82 79 81 63 61 57
99 51 87 61 85 81 56 56 59
84 78 61 74 68 77 63 100 67
