A B
46.366 47.418
57.492 47.331
44.293 51.642
50.921 46.065
59.127 31.563
47.555 34.577
48.209 44.138
47.393 41.479
49.141 57.783
51.261 49.697
56.708 35.443
46.561 50.938
45.168 59.823
49.782 44.033
45.211 50.748
49.875 71.974
47.583 57.95
39.65 44.611
51.774 33.987
49.273 42.686
55.073 46.443
55.279 40.146
57.91 42.688
54.104 64.653
54.665 68.586
49.103 50.035
57.663 36.562
58.064 51.513
47.285 52.9
46.306 48.775
52.15 51.252
56.118 42.276
61.647 39.87
56.656 59.669
57.966 45.767
55.328 41.684
45.522 64
40.568 50.17
41.759 68.475
49.857 43.137
58.32 47.813
46.558 56.826
50.197 55.241
60.048 50.805
48.287 50.538
53.381 42.627
46.135 59.664
48.269 59.843
46.948 51.873
50.224 52.73
57.886 62.101
51.509 51.887
55.68 69.625
47.611 51.387
50.009 34.214
45.945 42.03
54.337 62.244
50.007 46.347
50.25 48.374
51.736 55.605
44.887 41.393
54.844 62.386
47.678 57.674
53.052 39.126
46.77 50.675
48.863 66.051
40.058 62.322
49.061 46.209
44.208 36.501
49.172 53.649
49.55 46.364
49.442 63.747
52.305 52.919
50.732 57.106
52.638 40.622
49.793 38.859
55.437 56.344
51.175 47.688
51.516 36.318
47.756 42.451
53.062 38.744
41.858 47.806
55.448 48.657
50.45 41.82
53.948 54.723
47.018 41.307
62.506 36.677
48.203 50.706
50.191 54.641
47.961 52.892
55.2 21.151
45.258 26.653
53.355 32.691
55.074 58.25
55.52 39.55
52.488 41.228
48.837 45.996
47.869 37.318
49.657 51.386
50.274 61.836
40.593 28.894
56.247 52.607
53.949 59.456
51.612 43.8
50.281 49.909
55.039 55.202
49.426 68.063
40.742 30.875
46.802 51.993
56.971 52.765
45.805 41.637
58.682 70.296
63.571 54.291
51.268 60.639
43.816 43.942
54.565 60.744
42.795 42.877
52.889 48.211
50.832 54.998
49.56 48.004
56.424 50.899
54.994 60.049
43.981 31.271
42.354 55.248
55.866 44.854
52.02 62.109
48.57 44.872
56.785 60.906
43.738 54.918
43.363 47.574
57.313 71.16
40.677 61.886
44.365 58.953
50.05 58.685
54.235 66.562
52.848 64.456
52.01 57.446
45.202 43.098
53.814 42.086
52.066 47.379
46.59 45.921
50.423 52.013
61.471 42.681
55.357 57.291
49.045 53.266
48.478 22.921
51.07 44.079
49.421 55.045
43.494 34.773
48.607 46.411
55.3 45.299
54.329 54.693
47.983 35.247
54.612 40.84
47.497 54.58
56.761 42.875
48.88 46.216
56.552 70.069
48.353 44.498
51.501 30.192
37.463 60.346
61.801 41.552
51.037 39.831
58.706 56.748
48.015 49.668
47.273 72.455
50.369 45.459
49.977 51.949
50.472 50.315
48.142 32.107
43.369 49.295
51.289 68.041
44.397 54.446
41.807 38.091
50.393 52.482
52.23 48.81
58.431 56.87
45.223 35.922
55.151 55.753
47.595 56.377
61.478 40.519
47.151 34.845
54.32 52.665
55.442 52.915
44.248 67.089
49.183 54.767
49.623 63.076
48.65 68.06
54.273 60.354
44.728 55.165
53.908 46.059
52.401 34.898
47.995 50.06
52.823 58.55
49.631 57.299
57.265 53.488
54.651 63.614
50.981 47.113
47.316 68.884
54.202 49.826
50.002 55.411
49.094 44.6
55.516 49.192
46.694 49.704
51.949 48.547
52.624 49.891
53.626 36.213
55.253 56.715
48.732 38.458
54.272 54.226
56.663 46.13
53.716 37.595
53.209 54.57
48.209 35.892
54.689 69.339
48.431 55.696
49.857 59.328
57.664 34.547
53.006 56.016
53.587 40.492
51.624 63.604
50.404 47.335
60.696 19.651
48.716 47.612
42.679 47.278
49.962 61.904
41.587 50.512
48.192 53.31
46.149 55.316
33.08 56.14
48.66 50.767
55.458 47.391
47.78 40.781
47.438 51.176
47.918 28.616
60.058 46.806
57.548 42.593
46.84 40.742
49.042 57.579
56.418 53.596
52.092 41.708
49.983 45.542
50.27 43.291
57.925 41.991
43.179 66.109
47.152 50.185
52.873 39.166
49.662 62.894
44.776 48.561
52.615 27.12
